date	time	relative time [s]	Cm [mg/m^3]	Cn [P/cm^3]	M1,0 [µm]	M1,0 [µm]	
07/12/2021	09:48:14	3310,23	6,731143	104,443695	0,589315	0,589315	
07/12/2021	09:48:24	3320,23	0,012162	100,559586	0,317030	0,317030	
07/12/2021	09:48:34	3330,28	0,011423	101,192642	0,318798	0,318798	
07/12/2021	09:48:44	3340,25	0,016440	99,744759	0,318126	0,318126	
07/12/2021	09:48:54	3350,19	0,012682	101,467377	0,310618	0,310618	
07/12/2021	09:49:04	3360,34	0,012365	103,456291	0,316556	0,316556	
07/12/2021	09:49:14	3370,28	0,176376	99,462738	0,345213	0,345213	
07/12/2021	09:49:24	3380,23	0,009824	96,397728	0,312328	0,312328	
07/12/2021	09:49:34	3390,31	0,018766	104,083817	0,331620	0,331620	
07/12/2021	09:49:44	3400,27	0,046958	102,272781	0,333827	0,333827	
07/12/2021	09:49:54	3410,19	0,018682	96,572487	0,329630	0,329630	
07/12/2021	09:50:04	3420,36	0,010674	105,178856	0,309940	0,309940	
07/12/2021	09:50:14	3430,34	0,018744	101,192329	0,319354	0,319354	
07/12/2021	09:50:24	3440,39	0,017661	103,726143	0,320998	0,320998	
07/12/2021	09:50:34	3450,50	0,021271	107,342293	0,331335	0,331335	
07/12/2021	09:50:44	3460,23	0,022520	107,708817	0,320391	0,320391	
07/12/2021	09:50:54	3470,23	0,013318	114,950768	0,317794	0,317794	
07/12/2021	09:51:04	3480,37	0,018265	112,415405	0,320409	0,320409	
07/12/2021	09:51:14	3490,30	0,042456	102,182320	0,333666	0,333666	
07/12/2021	09:51:24	3500,25	0,014200	101,644714	0,319519	0,319519	
07/12/2021	09:51:34	3510,37	0,009410	110,158203	0,307380	0,307380	
07/12/2021	09:51:44	3520,31	0,024296	106,620804	0,324817	0,324817	
07/12/2021	09:51:54	3530,31	0,026295	109,522560	0,311843	0,311843	
