FIDAS®, 0.18 - 18.0 µm #1
07/12/2021 08:53:34 ___ 07/12/2021 10:07:13
1 file(s)
441  intervals of 1 s 
date beginning	time beginning	date end	time end	relative time [s]	PM1_ambient - 	PM2.5_ambient - 	PM4_ambient - 	PM10_ambient - 	
07/12/2021	09:34:48	07/12/2021	09:34:58	2474,62	7,14	13,57	20,17	20,28
07/12/2021	09:34:49	07/12/2021	09:34:59	2475,52	7,07	14,20	22,46	22,61
07/12/2021	09:34:53	07/12/2021	09:35:03	2479,52	7,49	14,56	22,17	22,37
07/12/2021	09:35:03	07/12/2021	09:35:13	2489,48	7,82	17,28	28,23	28,98
07/12/2021	09:35:13	07/12/2021	09:35:23	2499,55	7,25	13,94	21,91	24,29
07/12/2021	09:35:23	07/12/2021	09:35:33	2509,50	7,25	15,71	24,44	40,79
07/12/2021	09:35:34	07/12/2021	09:35:44	2520,53	7,42	16,71	26,70	27,40
07/12/2021	09:35:43	07/12/2021	09:35:53	2529,64	7,38	16,68	27,23	28,91
07/12/2021	09:35:53	07/12/2021	09:36:03	2539,59	7,62	14,15	19,49	19,55
07/12/2021	09:36:03	07/12/2021	09:36:13	2549,53	7,45	17,08	26,99	48,87
07/12/2021	09:36:13	07/12/2021	09:36:23	2559,69	8,14	15,98	22,57	22,14
07/12/2021	09:36:23	07/12/2021	09:36:33	2569,66	6,48	13,41	20,35	23,95
07/12/2021	09:36:33	07/12/2021	09:36:43	2579,58	6,81	13,59	20,60	20,39
07/12/2021	09:36:43	07/12/2021	09:36:53	2589,75	7,19	15,07	23,05	23,44
07/12/2021	09:36:53	07/12/2021	09:37:03	2599,73	6,96	15,31	23,97	24,12
07/12/2021	09:37:03	07/12/2021	09:37:13	2609,62	7,37	15,08	21,90	22,08
07/12/2021	09:37:13	07/12/2021	09:37:23	2619,55	7,51	15,45	23,91	24,53
07/12/2021	09:37:23	07/12/2021	09:37:33	2629,55	6,72	11,95	17,54	18,91
07/12/2021	09:37:33	07/12/2021	09:37:43	2639,69	7,47	16,10	24,39	24,01
07/12/2021	09:37:43	07/12/2021	09:37:53	2649,61	7,16	12,75	16,99	17,26
07/12/2021	09:37:53	07/12/2021	09:38:03	2659,80	6,92	14,85	23,48	24,76
07/12/2021	09:38:03	07/12/2021	09:38:13	2669,70	7,14	15,81	24,17	43,76
07/12/2021	09:38:13	07/12/2021	09:38:23	2679,62	7,19	14,92	22,78	31,52
07/12/2021	09:38:23	07/12/2021	09:38:33	2689,73	6,97	14,04	18,18	27,60
07/12/2021	09:38:33	07/12/2021	09:38:43	2699,73	6,28	12,73	19,40	19,42
07/12/2021	09:38:43	07/12/2021	09:38:53	2709,66	6,91	13,35	19,07	18,86
07/12/2021	09:38:53	07/12/2021	09:39:03	2719,61	7,17	15,47	23,12	27,10
07/12/2021	09:39:03	07/12/2021	09:39:13	2729,77	6,66	12,65	19,14	18,92
07/12/2021	09:39:13	07/12/2021	09:39:23	2739,69	6,84	12,40	18,64	19,75
07/12/2021	09:39:23	07/12/2021	09:39:33	2749,66	7,04	15,60	25,49	27,16
07/12/2021	09:39:33	07/12/2021	09:39:43	2759,84	7,02	12,05	16,50	16,80
07/12/2021	09:39:43	07/12/2021	09:39:53	2769,78	7,37	13,51	18,59	21,46
07/12/2021	09:39:53	07/12/2021	09:40:03	2779,75	6,97	13,23	18,73	25,37
07/12/2021	09:40:03	07/12/2021	09:40:13	2789,80	7,16	13,98	20,84	21,09
07/12/2021	09:40:13	07/12/2021	09:40:23	2799,86	6,86	12,36	18,30	18,60
07/12/2021	09:40:23	07/12/2021	09:40:33	2809,84	7,19	14,57	19,33	30,70
07/12/2021	09:40:33	07/12/2021	09:40:43	2819,81	7,02	15,03	22,63	27,24
07/12/2021	09:40:43	07/12/2021	09:40:53	2829,72	7,32	13,32	17,29	17,03
07/12/2021	09:40:53	07/12/2021	09:41:03	2839,67	7,07	16,40	25,55	46,36
