date beginning,time beginning,time end,PM1_ambient - ,PM2.5_ambient - ,PM4_ambient - ,PM10_ambient - ,Cm [mg/m^3],Cn [P/cm^3],"M1,0 [µm]","M1,0 [µm].1",T [°C),HR [%).,Pression [mBar),Vit. Vent [m/s),Dir. Vent [°),Lumi [W/m²),Elev.,Lat.,Lon.,trajet
07/12/2021,09:12:13,09:12:23,"6,44","14,65","20,11","44,17","0,021390","96,391823","0,328771","0,328771","8,5","95,9",1006,"0,27",347.0,"597,5",53.0,47.23720736335963,-1.5511077269911766,Erdre_aller_0712
07/12/2021,09:12:23,09:12:33,"6,44","14,23","22,97","25,07","0,069795","95,758598","0,327625","0,327625","8,6",96,"1006,1","0,56",101.0,"596,1",58.0,47.238086331635714,-1.5519397146999836,Erdre_aller_0712
07/12/2021,09:12:33,09:12:43,"6,32","14,22","22,94","31,16","0,021240","85,979324","0,340417","0,340417","8,6",96,"1006,2","0,28",326.0,"595,2",60.0,47.23815996665508,-1.5520568937063215,Erdre_aller_0712
07/12/2021,09:12:43,09:12:53,"5,96","12,71","20,44","22,94","0,035076","94,309906","0,329424","0,329424","8,6",96,"1006,3","0,57",310.0,"595,3",60.0,47.23824806045741,-1.552161080762744,Erdre_aller_0712
07/12/2021,09:12:53,09:13:03,"5,86","13,06","18,64","26,55","0,019905","88,156807","0,325168","0,325168","8,6","96,1","1006,4","0,56",34.0,595,59.0,47.23827488254756,-1.5522138867527246,Erdre_aller_0712
07/12/2021,09:13:03,09:13:13,"7,14","15,67","25,40","28,76","0,030836","85,620712","0,329948","0,329948","8,6","96,1","1006,5","0,57",324.0,"595,1",59.0,47.23827488254756,-1.5522138867527246,Erdre_aller_0712
07/12/2021,09:13:13,09:13:23,"6,05","12,71","20,96","22,52","0,025944","88,056297","0,353890","0,353890","8,6","96,1","1006,5","0,22",238.0,595,57.0,47.23828862886876,-1.552182538434863,Erdre_aller_0712
07/12/2021,09:13:24,09:13:34,"5,82","12,27","18,83","30,01","0,018793","85,802505","0,328063","0,328063","8,6","96,1","1006,5","0,18",205.0,"596,1",57.0,47.238321863114834,-1.552255041897297,Erdre_aller_0712
07/12/2021,09:13:33,09:13:43,"6,38","12,97","18,58","18,21","0,039587","91,236015","0,319411","0,319411",,,,,,,65.0,47.2383648622781,-1.552399042993784,Erdre_aller_0712
07/12/2021,09:13:43,09:13:53,"6,89","13,53","18,74","22,29","0,011853","96,486320","0,317481","0,317481","8,6","96,2","1006,7","0,34",267.0,"595,3",72.0,47.23850144539029,-1.552605740725994,Erdre_aller_0712
07/12/2021,09:13:53,09:14:03,"7,04","14,02","20,56","20,33","0,020284","103,004044","0,315752","0,315752",,,,,,,,,,Erdre_aller_0712
07/12/2021,09:14:03,09:14:13,"6,82","13,62","20,66","23,58","0,013925","102,640984","0,318319","0,318319",,,,,,,,,,Erdre_aller_0712
07/12/2021,09:14:13,09:14:23,"7,21","15,04","25,74","31,76","0,020658","107,077995","0,313459","0,313459","8,6","96,1","1006,8","0,9",22.0,"595,4",,,,Erdre_aller_0712
07/12/2021,09:14:23,09:14:33,"6,85","13,84","20,72","31,76","0,031577","106,983116","0,324283","0,324283","8,6","96,1","1006,9","1,03",39.0,"595,4",,,,Erdre_aller_0712
07/12/2021,09:14:33,09:14:43,"6,91","15,43","24,82","35,25","0,039201","106,533958","0,316190","0,316190","8,7","96,1","1006,9","1,73",28.0,"595,3",,,,Erdre_aller_0712
07/12/2021,09:14:43,09:14:53,"6,95","15,41","24,39","24,72","0,040986","110,152870","0,319619","0,319619","8,7","96,1","1006,8","1,2",27.0,"595,1",62.0,47.23891161382198,-1.5534366387873888,Erdre_aller_0712
07/12/2021,09:14:53,09:15:03,"7,63","15,20","22,57","22,99","0,018549","107,346611","0,320418","0,320418","8,7","96,1","1006,8","0,73",30.0,"594,9",61.0,47.23899342119694,-1.553540239110589,Erdre_aller_0712
07/12/2021,09:15:03,09:15:13,"6,72","14,11","20,81","28,05","0,016799","109,427902","0,321789","0,321789","8,7","96,1","1006,8","0,76",337.0,"594,9",,,,Erdre_aller_0712
07/12/2021,09:15:13,09:15:23,"6,92","13,76","20,48","24,47","0,030530","105,265953","0,317950","0,317950","8,7",96,"1006,7","0,34",33.0,595,,,,Erdre_aller_0712
07/12/2021,09:15:23,09:15:33,"6,68","12,60","18,55","22,57","0,022960","106,081596","0,315544","0,315544","8,7",96,"1006,7","0,91",331.0,"595,1",,,,Erdre_aller_0712
07/12/2021,09:15:33,09:15:43,"7,10","16,26","26,49","27,66","0,021496","109,434906","0,305103","0,305103","8,7",96,"1006,6","0,18",35.0,"595,4",,,,Erdre_aller_0712
