*
08/11/2021 08:22:32 ___ 08/11/2021 11:13:51
1 file(s)
9999  intervals of 1 s 
date beginning	time beginning	date end	time end	relative time [s]	PMtotal_classic - 	PM1_classic - 	PM2.5_classic - 	PM4_classic - 	
08/11/2021	08:26:49	08/11/2021	08:26:50	256,33	0,16	0,16	0,16	0,16
08/11/2021	08:26:50	08/11/2021	08:26:51	257,31	0,24	0,24	0,24	0,24
08/11/2021	08:26:51	08/11/2021	08:26:52	258,33	0,33	0,33	0,33	0,33
08/11/2021	08:26:52	08/11/2021	08:26:53	259,31	1,10	0,70	1,10	1,10
08/11/2021	08:26:53	08/11/2021	08:26:54	260,30	2,75	0,84	2,61	2,75
08/11/2021	08:26:54	08/11/2021	08:26:55	261,30	3,18	0,64	2,97	3,18
08/11/2021	08:26:55	08/11/2021	08:26:56	262,31	0,77	0,58	0,77	0,77
08/11/2021	08:26:56	08/11/2021	08:26:57	263,30	0,37	0,37	0,37	0,37
08/11/2021	08:26:56	08/11/2021	08:26:57	264,28	0,61	0,55	0,61	0,61
08/11/2021	08:26:58	08/11/2021	08:26:59	265,30	0,95	0,55	0,95	0,95
08/11/2021	08:26:58	08/11/2021	08:26:59	266,27	0,98	0,78	0,97	0,98
08/11/2021	08:26:59	08/11/2021	08:27:00	267,27	0,22	0,22	0,22	0,22
08/11/2021	08:27:00	08/11/2021	08:27:01	268,25	0,36	0,36	0,36	0,36
08/11/2021	08:27:01	08/11/2021	08:27:02	269,27	3,89	0,29	3,53	3,89
08/11/2021	08:27:02	08/11/2021	08:27:03	270,25	0,14	0,14	0,14	0,14
08/11/2021	08:27:03	08/11/2021	08:27:04	271,23	0,32	0,32	0,32	0,32
08/11/2021	08:27:04	08/11/2021	08:27:05	272,23	0,19	0,19	0,19	0,19
08/11/2021	08:27:05	08/11/2021	08:27:06	273,25	0,20	0,20	0,20	0,20
08/11/2021	08:27:06	08/11/2021	08:27:07	274,23	0,27	0,27	0,27	0,27
08/11/2021	08:27:07	08/11/2021	08:27:08	275,25	0,36	0,36	0,36	0,36
08/11/2021	08:27:08	08/11/2021	08:27:09	276,23	4,61	0,33	4,13	4,61
08/11/2021	08:27:09	08/11/2021	08:27:10	277,22	0,49	0,49	0,49	0,49
08/11/2021	08:27:10	08/11/2021	08:27:11	278,23	0,26	0,26	0,26	0,26
08/11/2021	08:27:11	08/11/2021	08:27:12	279,22	28,44	0,65	0,99	20,39
08/11/2021	08:27:12	08/11/2021	08:27:13	280,22	0,23	0,23	0,23	0,23
08/11/2021	08:27:13	08/11/2021	08:27:14	281,20	0,32	0,32	0,32	0,32
08/11/2021	08:27:14	08/11/2021	08:27:15	282,20	3,36	0,40	3,09	3,36
08/11/2021	08:27:15	08/11/2021	08:27:16	283,20	0,28	0,28	0,28	0,28
08/11/2021	08:27:16	08/11/2021	08:27:17	284,20	0,24	0,24	0,24	0,24
08/11/2021	08:27:17	08/11/2021	08:27:18	285,22	1,48	0,68	1,45	1,48
08/11/2021	08:27:18	08/11/2021	08:27:19	286,19	0,26	0,26	0,26	0,26
08/11/2021	08:27:19	08/11/2021	08:27:20	287,19	1,70	0,59	1,65	1,70
08/11/2021	08:27:20	08/11/2021	08:27:21	288,19	0,78	0,59	0,78	0,78
08/11/2021	08:27:21	08/11/2021	08:27:22	289,17	0,97	0,57	0,96	0,97
08/11/2021	08:27:22	08/11/2021	08:27:23	290,17	0,28	0,28	0,28	0,28
08/11/2021	08:27:23	08/11/2021	08:27:24	291,16	0,66	0,65	0,66	0,66
08/11/2021	08:27:24	08/11/2021	08:27:25	292,16	0,44	0,43	0,44	0,44
08/11/2021	08:27:25	08/11/2021	08:27:26	293,16	0,17	0,17	0,17	0,17
08/11/2021	08:27:26	08/11/2021	08:27:27	294,14	0,35	0,35	0,35	0,35
08/11/2021	08:27:27	08/11/2021	08:27:28	295,16	0,20	0,20	0,20	0,20
08/11/2021	08:27:28	08/11/2021	08:27:29	296,14	0,17	0,17	0,17	0,17
08/11/2021	08:27:29	08/11/2021	08:27:30	297,11	0,44	0,35	0,44	0,44
08/11/2021	08:27:30	08/11/2021	08:27:31	298,12	0,25	0,25	0,25	0,25
08/11/2021	08:27:31	08/11/2021	08:27:32	299,11	0,32	0,32	0,32	0,32
08/11/2021	08:27:32	08/11/2021	08:27:33	300,09	0,54	0,48	0,54	0,54
08/11/2021	08:27:33	08/11/2021	08:27:34	301,11	0,24	0,24	0,24	0,24
08/11/2021	08:27:34	08/11/2021	08:27:35	302,11	0,24	0,24	0,24	0,24
08/11/2021	08:27:35	08/11/2021	08:27:36	303,08	0,34	0,34	0,34	0,34
08/11/2021	08:27:36	08/11/2021	08:27:37	304,08	5,53	0,23	4,81	5,53
08/11/2021	08:27:37	08/11/2021	08:27:38	305,09	0,29	0,29	0,29	0,29
08/11/2021	08:27:38	08/11/2021	08:27:39	306,09	0,35	0,35	0,35	0,35
08/11/2021	08:27:39	08/11/2021	08:27:40	307,08	0,35	0,35	0,35	0,35
08/11/2021	08:27:40	08/11/2021	08:27:41	308,09	0,19	0,19	0,19	0,19
08/11/2021	08:27:41	08/11/2021	08:27:42	309,08	0,21	0,21	0,21	0,21
08/11/2021	08:27:42	08/11/2021	08:27:43	310,08	0,10	0,10	0,10	0,10
08/11/2021	08:27:43	08/11/2021	08:27:44	311,08	0,20	0,20	0,20	0,20
08/11/2021	08:27:44	08/11/2021	08:27:45	312,08	0,42	0,42	0,42	0,42
08/11/2021	08:27:45	08/11/2021	08:27:46	313,06	0,79	0,66	0,79	0,79
08/11/2021	08:27:46	08/11/2021	08:27:47	314,05	0,41	0,41	0,41	0,41
08/11/2021	08:27:47	08/11/2021	08:27:48	315,06	0,24	0,24	0,24	0,24
08/11/2021	08:27:48	08/11/2021	08:27:49	316,05	0,38	0,38	0,38	0,38
08/11/2021	08:27:49	08/11/2021	08:27:50	317,03	0,31	0,31	0,31	0,31
08/11/2021	08:27:50	08/11/2021	08:27:51	318,05	0,48	0,47	0,48	0,48
08/11/2021	08:27:51	08/11/2021	08:27:52	319,03	0,64	0,59	0,64	0,64
